"muestra" "parcela" "nitrogeno" "carbono" "calcio"
"1" 1 "F" 16.0710445123391 78.3759267117681 3.67868033990819
"2" 2 "F" 16.385282579291 49.0747130547678 4.10705494991438
"3" 3 "F" 14.08159063675 71.2445617127489 3.54678536394113
"4" 4 "F" 15.5707002465934 65.9753312735764 4.71131155098501
"5" 5 "F" 13.9628018170973 69.135177894124 3.49011545675967
"6" 6 "F" 17.1792636560019 52.7768516828433 0.297610142004442
"7" 7 "F" 18.7153669294952 68.5855536740261 2.10502720583158
"8" 8 "F" 16.8461785993813 51.1115216280182 3.01706478406157
"9" 9 "F" 18.1268854004791 69.7209964876471 4.92024067464807
"10" 10 "F" 16.3709993534144 86.9450112656544 4.23121335710693
"11" 11 "G" 12.8183479386956 47.6869210424573 2.40503890685094
"12" 12 "G" 16.8291363354525 45.9002926425444 2.16104620989104
"13" 13 "G" 14.9024611215547 9.53761771511691 5.0300454654944
"14" 14 "G" 12.2304263864342 41.0835007132792 3.12872628609783
"15" 15 "G" 12.6712911224137 35.8725822510267 1.90446982424711
"16" 16 "G" 13.1177676929526 63.4918095754705 4.97863621073333
"17" 17 "G" 14.3297601585702 49.3025608667601 4.83195036480307
"18" 18 "G" 13.2531487368962 59.0520107419937 3.39976046276634
"19" 19 "G" 13.2633325235848 18.7305380125048 3.61357035310336
"20" 20 "G" 17.2597361221539 38.7947888638909 2.91586813706598
