"Month" "Day" "Humidity"
"53" "6" 22 46
"108" "8" 16 83
"138" "9" 15 92
"83" "7" 22 79
"8" "5" 8 31
"113" "8" 21 52
"57" "6" 26 66
"95" "8" 3 65
"73" "7" 12 96
"150" "9" 27 81
"124" "9" 1 38
"145" "9" 22 30
"92" "7" 31 45
"30" "5" 30 55
"137" "9" 14 49
"44" "6" 13 38
"38" "6" 7 43
"80" "7" 19 34
"71" "7" 10 88
"89" "7" 28 69
"23" "5" 23 85
"152" "9" 29 73
"32" "6" 1 86
"97" "8" 5 95
"27" "5" 27 98
"60" "6" 29 87
"3" "5" 3 30
"68" "7" 7 86
"94" "8" 2 44
"149" "9" 26 58
"66" "7" 5 73
"67" "7" 6 44
"147" "9" 24 98
"104" "8" 12 42
"43" "6" 12 32
"41" "6" 10 82
"7" "5" 7 51
"19" "5" 19 40
"103" "8" 11 98
"17" "5" 17 72
"24" "5" 24 39
"55" "6" 24 77
"111" "8" 19 57
"131" "9" 8 67
"51" "6" 20 80
"143" "9" 20 82
"79" "7" 18 71
"54" "6" 23 98
"105" "8" 13 67
"63" "7" 2 100
"106" "8" 14 52
"93" "8" 1 37
"52" "6" 21 35
"116" "8" 24 74
"39" "6" 8 78
"11" "5" 11 46
"139" "9" 16 75
"123" "8" 31 33
"65" "7" 4 31
"148" "9" 25 90
"153" "9" 30 54
"144" "9" 21 76
"109" "8" 17 87
"141" "9" 18 55
"34" "6" 3 57
"21" "5" 21 40
"58" "6" 27 78
"91" "7" 30 53
"5" "5" 5 47
"125" "9" 2 80
"16" "5" 16 39
"25" "5" 25 80
"40" "6" 9 56
"78" "7" 17 53
"85" "7" 24 59
"98" "8" 6 71
"142" "9" 19 92
"122" "8" 30 94
"28" "5" 28 31
"33" "6" 2 55
"45" "6" 14 61
"76" "7" 15 31
"146" "9" 23 60
"18" "5" 18 65
"29" "5" 29 65
"112" "8" 20 31
"46" "6" 15 85
"37" "6" 6 73
"75" "7" 14 88
"42" "6" 11 63
"119" "8" 27 62
"115" "8" 23 52
"126" "9" 3 33
"12" "5" 12 67
"121" "8" 29 85
"64" "7" 3 64
"81" "7" 20 30
"88" "7" 27 42
"9" "5" 9 83
"10" "5" 10 45
"22" "5" 22 69
"6" "5" 6 62
"140" "9" 17 47
"74" "7" 13 43
"134" "9" 11 52
"77" "7" 16 96
"49" "6" 18 71
"114" "8" 22 60
"50" "6" 19 39
"128" "9" 5 55
"84" "7" 23 54
"136" "9" 13 54
"120" "8" 28 60
"70" "7" 9 98
"87" "7" 26 95
"15" "5" 15 34
"100" "8" 8 58
"118" "8" 26 72
"48" "6" 17 74
"132" "9" 9 68
"96" "8" 4 53
"2" "5" 2 33
"107" "8" 15 89
"127" "9" 4 98
"59" "6" 28 55
"151" "9" 28 36
"1" "5" 1 55
"61" "6" 30 48
"56" "6" 25 39
"117" "8" 25 64
"31" "5" 31 40
"90" "7" 29 57
"26" "5" 26 98
"130" "9" 7 70
"86" "7" 25 84
"20" "5" 20 53
"36" "6" 5 87
"110" "8" 18 86
"82" "7" 21 81
"62" "7" 1 54
"69" "7" 8 85
"35" "6" 4 63
"72" "7" 11 42
"133" "9" 10 69
"102" "8" 10 94
"14" "5" 14 72
"101" "8" 9 49
"129" "9" 6 43
"13" "5" 13 93
"47" "6" 16 48
"135" "9" 12 79
"99" "8" 7 57
"4" "5" 4 95
