"Muestra" "Pacela" "Tecnico" "Cant.N" "Cant.C" "Cant.Ca"
"1" 1 "A" "Nicolas" 16.4100017502266 65.0001498215871 3.77829921582502
"2" 2 "A" "Pablo" 13.9196619710633 73.165721858285 -2.4655796662478
"3" 3 "A" "Belen" 16.0980064481209 62.7764800868965 -3.27488557840384
"4" 4 "A" "Pablo" 12.4092894829097 76.6183324614863 0.0941040789071406
"5" 5 "A" "Belen" 15.7328656407404 64.353167707872 5.87297583107624
"6" 6 "A" "Pablo" 13.2112713347827 102.675306977609 5.21735906070217
"7" 7 "A" "Nicolas" 14.0496659779197 56.9106687318748 1.73269601928815
"8" 8 "A" "Belen" 16.9444039586934 69.4317583695938 6.45165152397947
"9" 9 "A" "Victoria" 15.1839285085797 64.8175346314925 3.73873461865447
"10" 10 "A" "Pablo" 13.8067670599617 95.4410481039163 -1.76050482301562
"11" 11 "B" "Nicolas" NA 57.8516184167347 1.62627479393933
"12" 12 "B" "Belen" NA 73.8877037353354 0.714575036755518
"13" 13 "B" "Victoria" NA 56.275307803595 7.83443947142303
"14" 14 "B" "Victoria" NA 68.500961897247 7.32031035003964
"15" 15 "B" "Pablo" 17.0858660498873 80.9948030032066 1.44241810397026
"16" 16 "B" "Pablo" 16.9394282793073 51.7843123303806 4.89791163937761
"17" 17 "B" "Nicolas" 14.6541348851155 46.6834881266471 3.75895330017503
"18" 18 "B" "Victoria" 15.3640568854914 86.3620733098065 4.74963691520467
"19" 19 "B" "Pablo" 14.2307479704958 53.9310756522452 -0.588453074371094
"20" 20 "B" "Victoria" 16.8761372833462 71.4875722364704 3.46414510133775
"21" 21 "C" "Belen" 19.6624929777643 53.2172501640135 -1.33671825685905
"22" 22 "C" "Victoria" 15.975407819574 65.5518122911226 6.97869087410916
"23" 23 "C" "Victoria" 14.2423759155381 65.790901005578 6.7407609112648
"24" 24 "C" "Pablo" 11.375044553332 71.7851226224844 5.90319334981839
"25" 25 "C" "Pablo" 13.7663110229166 76.5244265485953 9.3189256452131
"26" 26 "C" "Victoria" 16.2890108277016 89.2899390379697 -0.0078345346405353
"27" 27 "C" "Pablo" 14.6300932771871 94.3472060706244 -3.96759849808159
"28" 28 "C" "Victoria" 14.9649497063925 77.4888833242258 1.34468033900713
"29" 29 "C" "Victoria" 12.6991724362808 61.5930955933487 4.7476313056529
"30" 30 "C" "Nicolas" 13.9140771968478 45.2304170591433 3.53480124668496
"31" 31 "D" "Pablo" 15.1806141112429 25.7245785550284 2.5197882952317
"32" 32 "D" "Pablo" 13.0648249678798 44.133290713056 -0.760194650237818
"33" 33 "D" "Victoria" 15.464320508221 101.4090884409 5.41435007810812
"34" 34 "D" "Victoria" 15.8357077617597 64.1111721695827 0.896073094653178
"35" 35 "D" "Belen" 12.8992827610165 50.2138360300278 6.35382927144549
"36" 36 "D" "Nicolas" 15.205805886057 82.3551154193332 9.6460781614104
"37" 37 "D" "Belen" 10.3641954990389 92.5541589370754 5.20551365015828
"38" 38 "D" "Belen" 18.7176391044017 77.0240057232809 7.51164407061243
"39" 39 "D" "Nicolas" 12.4986478428763 56.6920505770173 8.42947161338752
"40" 40 "D" "Pablo" 16.3394762431856 62.3495120813243 0.362965394925789
"41" 41 "E" "Victoria" 14.4937750263479 9.23651874834573 3.73619452467017
"42" 42 "E" "Pablo" 14.7747418673982 63.1042673552799 2.81558348289882
"43" 43 "E" "Belen" 17.2516582124653 67.9811781341979 4.44512987569526
"44" 44 "E" "Victoria" 13.357007112641 61.8347584838598 7.23799067856002
"45" 45 "E" "Pablo" 13.9099540017742 53.7592123330426 3.48219100578044
"46" 46 "E" "Victoria" 13.8179289390591 61.3792459254643 10.1780898566201
"47" 47 "E" "Victoria" 17.3009716777401 62.7334540548059 10.2925224667707
"48" 48 "E" "Belen" 14.6058265618163 73.7942392354584 4.16819281764849
"49" 49 "E" "Victoria" 15.8106414681779 44.7061236317035 -0.68915653546086
"50" 50 "E" "Pablo" 16.2109178521313 53.9567344744435 2.44117232910435
