"Sepal.Length" "Sepal.Width" "Petal.Length" "Petal.Width" "Species"
"1" 6.9 2.5 3.8 1.6 "florentina"
"2" 5.4 3.1 3.5 2 "florentina"
"3" 7.8 3 5.8 0.5 "florentina"
"4" 6.2 2 3.5 0.3 "florentina"
"5" 7.2 3.2 5.2 2.2 "florentina"
"6" 5.7 1.9 5.4 0.6 "florentina"
"7" 5.3 3.7 4.1 1 "florentina"
"8" 5 1.5 4 0.4 "florentina"
"9" 6.7 3.3 4.7 1.3 "florentina"
"10" 5.2 2 3.8 0.4 "florentina"
"11" 5.1 1.4 2.8 0 "florentina"
"12" 6.4 3.9 4.6 1.5 "florentina"
"13" 6 2.3 4.5 0 "florentina"
"14" 7.1 3 5.6 2 "florentina"
"15" 5.7 3.5 2.9 1.4 "florentina"
"16" 7.6 2.7 4.9 1.4 "florentina"
"17" 5.2 2.8 4.2 0.8 "florentina"
"18" 6.2 1.8 3.2 0.2 "florentina"
"19" 6.4 1.7 4.5 2.5 "florentina"
"20" 5.5 3.2 4.5 1.4 "florentina"
"21" 6.5 3.5 4.7 2.8 "florentina"
"22" 6.2 3.8 3.2 0.6 "florentina"
"23" 5.6 3.1 4.5 1.4 "florentina"
"24" 6.7 2.4 4.2 0.2 "florentina"
"25" 6.8 2.6 4.3 1.6 "florentina"
"26" 5.7 2.9 3.5 2.4 "florentina"
"27" 6.9 2.2 5.8 1.9 "florentina"
"28" 5.7 4 5.2 2.6 "florentina"
"29" 6.1 3.4 4.9 1.8 "florentina"
"30" 5.2 3.5 3 1 "florentina"
"31" 4.9 2.1 2.9 0.5 "florentina"
"32" 4.9 1.9 4.6 0 "florentina"
"33" 5.7 2.7 2.9 1.6 "florentina"
"34" 6.5 3.3 4.7 1 "florentina"
"35" 5.5 2.1 3.8 1.8 "florentina"
"36" 5 3.6 5.1 1.7 "florentina"
"37" 7.3 3.5 4.6 2.5 "florentina"
"38" 5.8 1.8 5.4 0.6 "florentina"
"39" 4.7 2.6 3.2 1.8 "florentina"
"40" 5 3.1 3.9 0.6 "florentina"
"41" 6.1 2.9 3.9 1.6 "florentina"
"42" 5.6 3.5 5.6 0.8 "florentina"
"43" 6 3.2 3 0.8 "florentina"
"44" 5.6 2.8 2.7 0.2 "florentina"
"45" 5.1 3.2 4 0.6 "florentina"
"46" 6.7 4 5 0.7 "florentina"
"47" 5.3 3.9 4.2 0.6 "florentina"
"48" 7.1 2.5 4.8 1.9 "florentina"
"49" 4.7 2.1 3.5 1 "florentina"
"50" 4.7 2 5 0.9 "florentina"
